Case 1: Adam dont have any questions to discuss,"Case 2: Adam writes questions he has, in the email reply itself",Case 3: Adam is busy and will revert back to megan later (without a specific time),Case 4: Adam is busy and will get in touch with Megan after few days/weeks with mentioned time in email,Case 5: Adam wants to discuss over a call and might or might not provide time
"I don't have any questions at this time, but I'll reach out if I do!  Thank you.",I do have a few questions.  Do you have any other follow-up ebooks I could download?  Do you offer software in relation to these books?,"I'm currently tied up on a project, but I'll email you back when I am available.","I'm currently tied up on a project , but I'll reach out to you next Monday.",I'd be interested in speaking on the phone.  Can you call me sometime next Monday?
"Hi Megan,
Thank you for taking the time to follow up on me.But  as right now I do not have anything to ask you but I would definitely contact you if I do have any concern.","Hi Megan ,
Thank you for taking the time to follow up on me regarding the complete security ebook that I downloaded.As right now I do have a question on how to set up my account and how to make product change in the near future.Thanks in advance","Hi Megan,
 Thank you for writing to me in regard of the completesecurity ebook  but as right now  I am really busy and I would be in touch with you later","Hi Megan,
Thank you for taking the time to follow up on me in regard of my complesecurity product but I will write you next week on Tuesday to let you know if I do have any concern.Thank you","Hi Megan,
 Thank you for writing to let you  know about any concern I would have but I am a little busy to reply to you in writing can we talk over the phone instead? thanks in advance."
"Hi Megan, 
I don't have any questions at the moment. I will contact you if i need any help. 
Regards, 
Adam","Hi Megan, 
I am having problems opening the ebook. Could you assist me with this please? 
Regards, 
Adam","Hi Megan, 
I am busy at the moment but I will contact you later. 
Regards, 
Adam","Hi Megan, 
I am busy at the moment but I will contact you when I am free in a few days. 
Regards, 
Adam","Hi Megan, 
I would like to talk on the phone please. 
Let me know what time suits you to take a call. 
Regards, 
Adam"
"Thank you, right now I have any further questions to discuss. Have a nice day.",Do you have any questions for me?,"Hello Megan,
I'm sorry, I am currently busy at the moment and I will get back to you as soon as I can.","Hello Megan I am currently busy at the moment however, I will be getting back to you within a couple weeks. I'm sorry for the delay, have a nice day.","Hello, I would like to be able to set up a time to call and discuss this further over the phone, please get back to me with possible free times in your schedule, thanks so much."
"Hi Megan,

At this time, I no longer have any questions about your company and products. Thank you for checking in.

Adam","Hi Megan,

I was wondering if you could tell me what products have a sale on right now, from the ebook? What kind of technical support does your product have? 
I don't necessarily want to set up a call but I would like to have answers to my questions.
Thank you,

Adam","Hi Megan, 

I am currently really busy and unavailable. I will contact you in a few weeks to follow up.

Thank you,
Adam","Hi Megan,

I am extrmely busy at the moment, and I will contact you in a few weeks. Perhaps after April 25th when things calm down around here. Thank you very much.

Adam","Hi Megan,

I do actually have some questions about some of your products. Could we please set p a call? I am free mostly in the afternoons all next week, Thank you.

Adam"
T,323,H,3R,RT
"Megan,
Thank you for reaching out, but I don't have any questions right now.  I will let you know if I need anything.
Thanks,
Adam","Megan,
Thank you so much for getting in touch.  I do have a couple of questions about chapter 3.  When the book talks about secure websites is it referring to 'https' protocol or securing the website's data at the source?
Thank you!
Adam","Megan,
Thank you for reaching out.  I'm currently very busy with a project, so I'll get in touch when things have calmed down.
Thanks again!
Adam","Megan,
Thank you so much for reaching out.  I'm currently very busy with a project, so I'll get in touch with you next week, once it's finished.
Thanks again!
Adam","Megan,
Thank you so much for getting in touch.  I would love to get some clarification on a couple points.  I'm avaliable on Tuesday morning between 9am and 11am if that works for you?
Thanks,
Adam"
I don't think I have any inquires. Thank you Megan,How will this software benefit me the most Megan??,I'm tied up right now Megan. I will contact you another time when I'm free,It's a little hectic right now Megan. We'll talk this upcoming Friday at 5pm if you're free then,We can talk about the product over the phone if you'd like Megan. Sometime today or tomorrow.
"Hello Megan,

I currently have no questions about the ebook, but I do appreciate you reaching out to me and showing me great customer service but if I do happen to have a question in the future ill be sure to contact you.

Thanks and regards,
Adam","Hi Megan,

Thank you for your concern, and I did actually have a question. How long is the setup time for the security device? It isn't in the booklet and I usually am at work for most of the day, so I would need to know how long it takes to setup in order to be at home when it is installed.

Thank you and have a great day,
Adam","Hello Megan,

I'll have to get back to you at another period in time, I've got a lot on my plate right now.

Thanks, 
Adam","Hey there Megan,

I'm busy at the moment but I'll gladly call in you in a few days on Tuesday around 3pm, and we can discuss my questions further there, thank you.

Adam","Hello Megan,

I'd actually like to discuss a few things over phone if I may call you. How does Thursday around 6pm sound? Thanks!

Adam"
"Hi Megan, 

I have looked into your company's product and I have no further questions at this point in time.

Thanks, Adam","Hi Megan,

Does the product have a packages or is it a flat rate supply? If there are packages what are they? if it is flat rate, what is the price?

Thanks, Adam","Hi Megan,

At this time I am unavailable, I will contact you when I have more time to discuss your company's product.

Thanks, Adam","Hi Megan, 

I am currently unavailable this week but I would like to get in touch with you next Monday to discuss your company's product.

Thanks, Adam","Hi Megan,

I would like to discuss your company's product over the phone soon.

Thanks, Adam"
